,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,1,0,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,0,0
3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,1,1,0,1,0,0,0,0,1,1,1,0,1,1,1,0,0,1,0
5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,1
7,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1
8,0,0,1,0,0,0,1,1,1,1,0,0,1,0,1,0,0,0,0,0
9,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,1,0
10,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,1,1,0
11,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0
15,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1
16,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1
17,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0
18,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0
19,1,0,0,0,1,0,1,0,1,0,1,1,1,1,1,0,0,1,1,1
20,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
21,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1
22,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
23,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0
24,1,1,0,1,0,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1
25,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
26,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
27,1,1,0,0,1,1,1,1,1,0,0,1,0,0,1,0,0,0,1,0
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,1,1,0,0,1,0,1,1,1,0,1,0,1,1,0,1,1,1,1,1
30,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0
31,1,1,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,1,0,1
32,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0
33,1,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0
34,0,1,1,1,0,1,0,0,0,1,1,1,0,1,1,0,0,0,1,1
35,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
36,1,1,0,0,1,1,0,0,1,1,1,1,0,1,1,1,0,0,0,0
37,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
