,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2,0,0,1,0,1,0,1,0,1,0,0,0,0,1,1,0,0,1,1,0
3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,1,0,1,0,0,1,0,0,1,1,1,0,0,1,1,1,1,1,0
5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
6,0,0,1,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
7,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1
8,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0
9,0,1,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0
10,1,1,1,1,0,1,1,1,1,0,1,1,0,1,0,1,1,1,1,0
11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0
15,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0
16,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,1
17,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0
18,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
19,0,1,0,1,0,1,1,1,1,1,1,0,0,1,0,0,0,1,1,1
20,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0,1,0,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,0
22,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1
24,0,1,0,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1
25,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
26,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
27,0,0,1,1,1,1,0,0,1,0,0,1,0,1,0,0,1,1,1,0
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,1,1,1,0,1,0,0,0,1,1,1,0,1,1,1,0,1,1,1,1
30,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
31,1,1,1,1,0,1,0,1,1,1,0,0,0,1,0,1,1,0,0,1
32,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
33,1,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0
34,0,0,0,0,0,0,1,1,0,1,1,1,1,1,0,1,0,1,1,1
35,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,0,1,0,0,0,1,1,0,1,0,1,1,1,1,1,1,1,0,0,0
37,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0
38,0,0,1,1,1,0,0,1,0,1,0,0,1,1,1,0,1,1,1,1
39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1
41,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
42,1,0,0,1,0,0,1,1,0,1,0,1,0,1,1,1,1,0,0,0
43,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0
44,0,0,0,1,1,1,1,0,1,0,0,0,1,1,0,0,1,1,0,1
45,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,1,1
46,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,1,1,0,0
47,1,0,0,1,0,1,1,0,1,1,1,1,1,0,1,1,0,1,0,1
48,1,0,1,1,0,0,0,0,1,1,1,1,1,1,1,0,1,0,1,0
49,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1
50,0,0,1,0,0,1,1,0,1,0,1,0,0,0,1,0,0,1,1,0
51,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
53,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
54,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
55,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
58,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,1,1,1,1
59,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,0,1
60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
62,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
