,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0
2,1,1,1,1,1,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1
3,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0
4,1,0,1,1,1,1,1,1,0,1,0,1,0,1,1,0,1,1,0,1
5,1,1,0,1,1,1,1,1,1,1,0,0,1,1,0,1,1,0,1,1
6,0,0,1,1,0,0,0,0,0,1,1,0,0,1,1,1,1,0,1,1
7,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1
8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0
10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
11,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
12,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1
15,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,1,0
18,1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,1,0,0,0,1
19,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
20,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1
21,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
22,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0
23,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
24,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
25,0,0,1,1,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,1
26,0,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
29,0,1,1,1,0,0,1,0,1,0,1,1,1,0,1,0,0,1,1,1
30,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
31,0,0,0,1,1,1,0,1,1,1,0,1,1,0,0,1,0,1,0,0
32,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
33,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1
34,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1
35,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1
36,0,1,1,1,1,1,1,1,0,0,1,1,0,1,0,1,0,1,1,1
37,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
38,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,1,0,1,0,1
39,0,1,1,1,1,0,1,0,0,1,1,0,0,1,0,1,1,1,0,1
40,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
41,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
42,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0
43,0,0,0,0,1,1,0,0,0,1,0,1,1,0,1,0,0,0,0,1
44,1,0,1,1,0,0,1,1,1,0,1,1,1,1,0,0,0,1,1,1
45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,0,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1
47,0,0,1,0,0,1,0,1,1,0,1,1,1,1,0,0,0,1,1,0
48,0,1,1,1,0,1,1,0,1,1,1,0,1,1,1,0,1,1,0,1
49,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
50,0,0,0,1,0,1,0,0,1,0,1,0,1,1,1,0,1,1,0,1
51,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
52,0,0,0,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1
53,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
54,1,0,0,1,0,1,1,0,1,0,1,0,1,1,1,0,0,0,0,0
55,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0
56,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,1,0,1
57,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1
58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,1,1,1,0,1,1,1,0,1,0,1,0,1,1,1,1,1,1,0,0
60,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
61,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
62,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1
63,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0
64,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1
65,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
66,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,0,0,0,1
67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
68,0,0,1,1,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,1
69,0,0,0,0,0,1,0,0,1,1,1,1,1,0,1,1,0,0,1,0
70,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
71,0,0,0,0,1,0,1,1,1,0,1,0,1,0,1,0,1,1,0,0
72,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1
73,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
74,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,0
75,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
76,0,1,0,1,0,1,1,1,1,0,1,0,0,1,1,1,0,1,1,0
77,0,0,0,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0
78,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,0,1,0,1,1
79,0,0,1,1,1,0,0,0,1,0,1,1,0,1,1,1,1,1,0,1
80,1,1,0,0,1,1,0,1,1,0,1,1,1,0,0,1,0,1,1,1
81,1,1,0,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,0,1
82,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0
83,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1
84,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
85,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1
86,1,1,1,0,0,1,1,1,1,0,1,1,1,0,1,1,0,1,0,0
87,1,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,1,1,1,1
88,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1
89,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,0
90,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1
91,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,1,0,1,0,1
92,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,0,1,1,1,1
93,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
94,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0
95,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,0,0,0,1,1
96,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1
99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
100,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0
101,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
102,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1
103,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
104,1,1,1,0,0,1,1,0,1,1,0,1,0,0,1,1,0,0,1,1
