,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1
2,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
3,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
4,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0
5,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,0,0
6,1,1,1,1,1,1,0,1,0,1,1,1,0,0,1,1,0,1,1,1
7,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1
8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
9,0,0,1,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0,0,0
10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
11,1,1,1,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,0
12,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,1,0,1,1,0,0,1,1,1,0,0,0,1,1
15,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
16,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
17,0,1,1,0,1,0,0,1,0,0,1,0,1,0,1,1,1,1,1,1
18,0,1,0,0,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,1
19,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1
20,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,0,0
21,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
22,1,1,0,1,1,1,0,0,1,1,1,0,0,0,1,1,1,1,0,0
23,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
25,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
26,1,1,0,1,1,1,1,0,0,1,1,0,1,1,1,0,0,1,1,0
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
29,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,0,1,1
30,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
31,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0
32,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0
33,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
34,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1
35,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0
36,0,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,1,1,0
37,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1
38,1,0,1,0,0,0,1,0,1,1,0,0,1,0,1,1,1,1,1,1
39,1,1,1,0,1,1,1,1,0,1,1,0,0,1,1,1,1,1,0,1
40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0
42,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
43,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0
44,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0
45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,1,0,1,0,1,1,1,0,1,1,1,1,1,1,0,1,0,0,1,0
47,0,0,1,0,1,1,1,1,1,0,1,0,1,0,0,0,1,1,0,0
48,1,0,1,1,1,0,1,1,1,1,0,1,0,1,1,0,1,0,1,0
49,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
50,1,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1
51,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0
52,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0
53,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
54,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
55,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0
56,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
57,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
60,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
61,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
62,0,1,1,0,1,0,1,1,0,1,0,0,0,1,1,0,1,1,0,1
63,0,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,0,1,1,1
64,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
66,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1
67,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
69,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
70,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1
71,0,1,0,0,0,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0
72,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
73,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
74,1,1,1,1,0,0,1,1,0,1,1,0,0,1,1,0,1,1,1,0
75,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1
76,1,1,1,1,1,1,0,0,1,1,0,1,1,0,1,0,1,0,1,1
77,0,1,1,1,1,0,1,1,1,1,0,0,1,0,1,1,1,1,0,0
78,0,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1
79,0,0,1,0,1,1,0,1,0,1,1,1,0,1,0,1,0,0,1,1
80,1,0,0,0,1,1,0,0,0,1,0,1,1,1,1,1,1,0,1,1
81,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1
82,0,1,0,0,1,1,1,1,0,0,1,0,1,1,0,1,0,0,0,1
83,1,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,0,1,1,1
84,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
85,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,1,1
86,1,1,0,0,1,1,0,1,1,0,1,1,1,0,1,0,1,1,1,1
87,1,0,1,1,1,1,1,0,1,1,0,0,1,0,1,1,1,0,1,1
88,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
89,1,1,0,1,0,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1
90,1,0,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1
91,0,0,1,1,1,1,1,0,0,1,0,1,0,1,0,0,1,0,1,0
92,0,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0
93,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0
94,1,1,1,1,1,0,0,1,0,1,0,1,1,1,0,1,1,1,1,0
95,1,1,1,0,1,0,0,1,1,0,1,0,1,1,1,1,1,1,1,1
96,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1
97,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
99,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1
100,1,0,1,0,1,1,1,1,0,1,1,0,1,1,0,1,0,1,0,1
101,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
103,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
104,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
105,0,0,1,1,1,1,1,1,1,0,1,1,0,1,0,1,0,1,1,1
106,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,0,1,1,0,1,1,0,1,1,0,0,0,1,1,1,0,0,1,1,1
109,0,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1
110,1,0,0,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,1
111,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1
112,1,0,1,0,1,0,0,0,0,1,1,1,0,0,1,1,0,1,1,0
113,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1
115,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
116,0,0,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1
117,1,1,1,1,1,0,0,0,1,1,1,1,1,0,1,0,0,0,1,1
118,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0
119,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1
120,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0
121,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
