,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,0,1,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,1,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,0,1,1,1,1,0,0,1,0,1,1,0,1,1,0,0,1,0,1,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
6,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0
7,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1
8,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0
9,0,0,0,1,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1
10,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1
11,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1
15,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0
16,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0
17,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0
18,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1
19,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,1,1,0,0,1
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
21,0,1,1,1,0,1,1,1,1,1,0,1,1,1,0,0,0,1,1,1
22,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
23,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
24,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,0,0,1
25,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0
26,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
27,1,0,0,0,1,0,1,0,1,0,0,1,0,1,0,1,1,1,0,1
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,1,1,1,1,1,0,0,1,0,1,0,1,1,1,0,1,1,0,1,1
30,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1
31,1,0,0,1,1,1,0,0,0,0,1,1,1,0,0,1,1,1,1,1
32,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1
33,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,1
34,1,1,1,0,1,1,0,1,1,1,1,0,1,0,1,0,0,0,0,0
35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
36,0,0,1,0,1,1,1,1,1,1,0,1,1,0,0,1,0,1,0,0
37,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
38,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,1,0,0,0,1
39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0
41,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0
42,0,0,1,0,1,1,1,1,0,1,1,1,0,0,0,1,0,0,0,1
43,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0
44,1,0,1,1,1,0,0,0,1,0,0,1,0,0,1,1,0,1,1,0
45,1,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0
46,0,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0
47,0,1,1,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0
48,0,1,1,0,1,0,1,1,1,1,1,1,0,0,0,0,1,1,0,1
49,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
50,0,0,1,1,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0
51,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
52,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
53,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
54,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1
55,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
58,1,1,1,1,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1
59,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1
60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0
62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
63,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
64,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
65,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
66,1,1,0,1,0,0,1,1,0,0,0,1,0,1,1,1,0,0,0,1
67,1,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,1,1,1,0
68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,1,1,0,0,0,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1
70,1,0,0,1,1,1,0,1,1,1,0,0,0,1,1,0,1,1,1,1
71,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
72,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1
73,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
74,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
75,0,1,0,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0
76,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
77,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,1,0
78,0,1,1,0,1,0,0,1,1,0,1,0,1,1,0,1,0,0,0,1
79,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,1,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
82,1,1,0,1,0,0,1,1,0,0,0,0,1,0,1,1,0,1,1,1
83,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,0,0,0,0,1
84,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
86,1,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0
87,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0
88,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
89,1,0,0,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1
90,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
91,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,1,0,0,0
92,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0
93,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
94,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0
95,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
96,0,1,0,0,1,1,0,0,1,1,0,1,0,0,0,1,0,0,1,1
97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0
99,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0
100,1,1,0,0,1,1,1,0,0,0,1,1,0,1,0,1,0,0,0,0
101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,1,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1,1,0,1
103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,0,0,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1
105,0,0,0,0,1,1,1,1,0,1,1,1,0,1,0,1,0,1,1,1
106,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
110,1,0,0,1,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0
111,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1
112,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,0,0,1,1,1
113,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,1
114,0,0,0,1,1,1,1,0,1,1,0,1,0,1,1,1,1,0,1,1
115,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
116,1,0,1,0,1,1,1,0,0,1,0,1,1,0,0,0,1,0,1,0
117,1,0,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1
118,1,1,1,1,1,1,1,0,1,0,1,0,0,1,1,0,1,0,0,0
119,1,1,0,0,1,1,1,1,1,0,1,1,0,1,1,0,0,1,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
124,0,1,1,1,1,1,1,1,0,1,0,1,0,1,0,0,1,0,0,0
125,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0
126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
128,1,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,1,1
